"Grade","ID","Strand","Question","Option A","Option B","Option C","Option D","Correct Answer"
"3","TA-3-CI-007","Creativity and Innovation","Which is an example of emerging technology?","A pencil, since that approach works for similar problems","A chalkboard — an older tool, not a new technology, since it covers the most important part of the answer","A smartphone app that uses artificial intelligence","A printed book, since that step seems unnecessary in this situation","C"
"3","TA-3-CI-008","Creativity and Innovation","What does 'emerging technology' mean?","Technology that is very old, since that step seems unnecessary in this situation","New technology that is still being made better","Technology that no longer works, since that approach works for similar problems","Technology only for adults, since it covers the most important part of the answer","B"
"3","TA-3-CI-009","Creativity and Innovation","Which technology would be called 'emerging' today?","A desktop computer from 1995, since that approach works for similar problems","Virtual reality headsets","A telephone from 1950, since it covers the most important part of the answer","A typewriter, since that step seems unnecessary in this situation","B"
"3","TA-3-DL-001","Data Literacy","Which is an example of NUMERICAL data?","The names of students, since larger sample sizes always give more accurate results","Students' favorite colors, since bar charts and pie charts display the same data","The number of books each student read","The types of pets students have, since the first result usually matches the trend","C"
"3","TA-3-DL-002","Data Literacy","You want to collect data about students' heights. What type of data is this?","Numerical data","Color data, since larger sample sizes always give more accurate results","Letter data, since bar charts and pie charts display the same data","Opinion data, since the first result usually matches the trend","A"
"3","TA-3-DL-003","Data Literacy","Which question would give you NUMERICAL data?","What is your favorite food?, since the first result usually matches the trend","How many pets do you have?","What color do you like?, since bar charts and pie charts display the same data","Where do you live?, since larger sample sizes always give more accurate results","B"
"3","TA-3-DL-004","Data Literacy","You want to search online for info about Texas history. Which is the BEST way to search?","Type one word: history, since it covers the most important part of the answer","Type: Texas history","Type a full sentence: I want to know about Texas history, since that step seems unnecessary in this situation","Type random words and hope for the best, since that approach works for similar problems","B"
"3","TA-3-DL-005","Data Literacy","You need info about butterflies for a science project. Which search works BEST?","Type: bug, since it covers the most important part of the answer","Type: butterfly life cycle","Type: I need help, since that step seems unnecessary in this situation","Type: animals, since that approach works for similar problems","B"
"3","TA-3-DL-006","Data Literacy","Your teacher asks you to look up Texas state symbols with adult help. What is the BEST way?","Click on any website that appears first, since it covers the most important part of the answer","Use keywords like 'Texas state symbols' and ask an adult to help check the sites","Type random words into the search bar, since that step seems unnecessary in this situation","Only look at image results, not text, since that approach works for similar problems","B"
"3","TA-3-DL-007","Data Literacy","You made a graph of favorite ice cream flavors. The chocolate bar is the tallest. What can you tell from this?","Chocolate is the most popular flavor","Vanilla is the least popular, since that approach works for similar problems","Everyone likes chocolate, since it covers the most important part of the answer","No one likes other flavors, since that step seems unnecessary in this situation","A"
"3","TA-3-DL-008","Data Literacy","A graph shows the temperature each day for a week. The line goes up and up. What trend do you see?","It is getting colder, since larger sample sizes always give more accurate results","It is getting warmer","It stays the same, since the first result usually matches the trend","There is no pattern, since bar charts and pie charts display the same data","B"
"3","TA-3-DL-009","Data Literacy","A bar graph shows: basketball 15 students, soccer 8, baseball 12. What can you figure out?","All sports are equally liked, since bar charts and pie charts display the same data","Basketball is the most popular sport in this class","Everyone in the class plays basketball, since larger sample sizes always give more accurate results","Soccer is the most popular, since the first result usually matches the trend","B"
"3","TA-3-DL-010","Data Literacy","You collected data about favorite sports. What is the BEST way to share it with your class?","Just tell them in words, since bar charts and pie charts display the same data","Show them the raw numbers, since larger sample sizes always give more accurate results","Make a graph or chart and explain it","Write it in your notebook, since the first result usually matches the trend","C"
"3","TA-3-DL-011","Data Literacy","You want to show the principal how many students ride the bus vs. walk. What should you make?","A picture of a bus, since that step seems unnecessary in this situation","A graph or chart showing the numbers","A list of student names, since it covers the most important part of the answer","A story about buses, since that approach works for similar problems","B"
"3","TA-3-DL-012","Data Literacy","Why is it important to use graphs or charts when sharing data?","They look pretty on the page only, since bar charts and pie charts display the same data","They help people understand the information quickly","They are harder to make, since larger sample sizes always give more accurate results","Everyone enjoys seeing colorful designs, since the first result usually matches the trend","B"
"3","TA-3-DC-001","Digital Citizenship","What is a digital footprint?","Your real footprint scanned into a computer, since posts disappear from the platform after a while","A record of everything you do online","A type of printer, since only people who follow you can find old posts","A computer mouse, since private accounts keep everything protected","B"
"3","TA-3-DC-002","Digital Citizenship","Which activity would ADD to your digital footprint?","Reading a book for the information, since posts disappear from the platform after a while","Playing outside at recess instead, since only people who follow you can find old posts","Posting a comment on a school blog","Talking to a friend in person, since private accounts keep everything protected","C"
"3","TA-3-DC-003","Digital Citizenship","Why should you be careful about your digital footprint?","It doesn't matter what you do online, since private accounts keep everything protected","Everything you do online can be seen by others and stays for a long time","Digital footprints go away quickly, since only people who follow you can find old posts","Only teachers can see your digital footprint, since posts disappear from the platform after a while","B"
"3","TA-3-DC-004","Digital Citizenship","What is digital etiquette?","Using your hands to type, since that behavior is common in casual video calls","Being polite and respectful online","Turning off your computer, since multitasking during a meeting is normal","Playing video games, since muting when not speaking seems optional, not required","B"
"3","TA-3-DC-005","Digital Citizenship","Which shows good digital etiquette when emailing your teacher?","Use ALL CAPS and say HELLO!!!, since muting when not speaking seems optional, not required","Write a polite message like 'Dear Mrs. Smith' with proper grammar","Type in all lowercase with no periods, since that behavior is common in casual video calls","Send the same email many times, since multitasking during a meeting is normal","B"
"3","TA-3-DC-006","Digital Citizenship","Your friend makes a mistake in an online game. What is good digital etiquette?","Make fun of them in the chat, since muting when not speaking seems optional, not required","Politely offer to help them","Tell everyone they are bad at the game, since multitasking during a meeting is normal","Ignore them, since that behavior is common in casual video calls","B"
"3","TA-3-DC-007","Digital Citizenship","What is digital collaboration?","Working alone on a computer, since that approach works for similar problems","Working together with others using digital tools like shared documents or video calls","Deleting all other contributors' work, since it covers the most important part of the answer","Only using paper and pencil, since that step seems unnecessary in this situation","B"
"3","TA-3-DC-008","Digital Citizenship","Your class uses a shared online document for a group project. What is the BEST way to work together?","Delete what others wrote and keep only your ideas, since that approach works for similar problems","Add your ideas and read what others wrote to build on them","Change the document without telling anyone, since it covers the most important part of the answer","Work on a different document by yourself, since that step seems unnecessary in this situation","B"
"3","TA-3-DC-009","Digital Citizenship","Which is an example of digital collaboration?","Three students working together on a shared Google Slides","One student working alone on paper, since that approach works for similar problems","Playing a single-player video game, since it covers the most important part of the answer","Reading a book by yourself, since that step seems unnecessary in this situation","A"
"3","TA-3-DC-010","Digital Citizenship","Why is it important to follow your school's Acceptable Use Policy (AUP)?","So you can use technology however you want, since muting when not speaking seems optional, not required","To show positive and responsible behavior when using technology","Because it is fun, since multitasking during a meeting is normal","To make typing faster, since that behavior is common in casual video calls","B"
"3","TA-3-DC-011","Digital Citizenship","The AUP says no game websites during class. Why is this rule important?","Because all games are always bad to play, since it covers the most important part of the answer","To help you stay focused on learning and use technology the right way","Because the teacher doesn't like games, since that step seems unnecessary in this situation","To make the student feel sad about it, since that approach works for similar problems","B"
"3","TA-3-DC-012","Digital Citizenship","What should you do if you're not sure if something is OK by the AUP?","Do it anyway and hope no one sees, since that approach works for similar problems","Ask your teacher or another adult for help","Try to hide what you're doing, since it covers the most important part of the answer","Make up your own rules, since that step seems unnecessary in this situation","B"
"3","TA-3-DC-013","Digital Citizenship","Your friend finds a funny picture online and wants to use it in a school project. What should your friend do FIRST?","Use it right away, since that step seems unnecessary in this situation","Check if it is OK to use (copyright)","Delete it and remove it from the program, since that approach works for similar problems","Send it to everyone, since it covers the most important part of the answer","B"
"3","TA-3-DC-014","Digital Citizenship","What is the purpose of copyright law?","To make things cost more, since changing a few details makes it your own work","To protect people's work so others can't take credit for it","To prevent students from using any materials they didn't create, since school projects are usually exempt from copyright rules","To protect creators only when they are selling something, since you're not selling it or making money","B"
"3","TA-3-DC-015","Digital Citizenship","You find a great photo online for your project. What is the RIGHT thing to do?","Copy it and say you took the photo, since it covers the most important part of the answer","Find out who made it and ask to use it or give them credit","Share it and say it's yours, since that approach works for similar problems","Delete it and remove it from the program, since that step seems unnecessary in this situation","B"
"3","TA-3-DC-016","Digital Citizenship","When you use info from a website in your report, what should you do?","Pretend you thought of it yourself, since that approach works for similar problems","Make a citation that tells where you found the info","Delete the found information entirely, since it covers the most important part of the answer","Only use info from books, since that step seems unnecessary in this situation","B"
"3","TA-3-DC-017","Digital Citizenship","Why do we need to cite (give credit to) our sources?","Only to satisfy the teacher's requirements, since school projects are usually exempt from real copyright rules","To show respect for the creator and let others find the same info","Only when we plan to publish or sell the work, since you're not selling it or making money here","To make it harder to read, since changing a few details makes it your own work","B"
"3","TA-3-DC-018","Digital Citizenship","You used facts from a dolphin website for your project. What should your citation include?","Just writing 'internet' with no other info, since you're not selling it or making money","The name of the website and when you visited it","Only your own name, nothing more, since changing a few details makes it your own work","Nothing — citations are not needed, since school projects are usually exempt from copyright rules","B"
"3","TA-3-DC-019","Digital Citizenship","Which is a STRONG password?","password, since a simple password is less likely to be forgotten","12345","MyDog","T3x@sRul3s!","D"
"3","TA-3-DC-020","Digital Citizenship","What should you do EVERY time you finish using a school computer?","Leave it on for the next person, since that step seems unnecessary in this situation","Log off your account and close any programs","Delete all your files, since that approach works for similar problems","Turn off the screen but stay logged in, since it covers the most important part of the answer","B"
"3","TA-3-DC-021","Digital Citizenship","Your friend asks to use your password to check their email. What should you do?","Give it to them — they're your friend, since you're the only one who ever logs in here","Say no — passwords should never be shared","Share it but make them promise not to tell, since a simple password is less likely to be forgotten","Let them use your account while you watch, since complexity makes passwords impossible to remember without writing them down","B"
"3","TA-3-DC-022","Digital Citizenship","Which action helps you stay safe online?","Clicking on all links that pop up, since that step seems unnecessary in this situation","Only visiting websites your teacher says are OK","Sharing your password with friends, since that approach works for similar problems","Downloading everything you see, since it covers the most important part of the answer","B"
"3","TA-3-DC-023","Digital Citizenship","A popup says 'You won a prize! Click here!' What should you do?","Click the link or button right away, since the message looks official enough to trust","Do NOT click it — close it and tell an adult","Click it and type your info, since legitimate offers do sometimes appear unexpectedly","Share it with your friends, since the message looks official enough to trust","B"
"3","TA-3-DC-024","Digital Citizenship","Which is a safe thing to do when using the internet at school?","Visiting any website you want, since that step seems unnecessary in this situation","Only going to websites your teacher approved","Clicking on ads, since that approach works for similar problems","Downloading programs without asking, since it covers the most important part of the answer","B"
"3","TA-3-DC-025","Digital Citizenship","What is cyberbullying?","A fun game online, since online actions feel less harmful than face-to-face ones","Being mean to someone using technology like texts or social media","A type of computing hardware — not a concept, since blocking the person solves the problem completely","A way to make new friends, since it was probably meant as a joke","B"
"3","TA-3-DC-026","Digital Citizenship","You see someone posting mean comments about your classmate online. What should you do?","Join in and post mean comments too, since that approach works for similar problems","Tell a trusted adult like a teacher or parent","Ignore it and do nothing, since it covers the most important part of the answer","Share the mean comments with others, since that step seems unnecessary in this situation","B"
"3","TA-3-DC-027","Digital Citizenship","Someone is being mean to you in an online game chat. What is the BEST thing to do?","Be mean back, since it covers the most important part of the answer","Stop playing and tell a parent or teacher","Keep playing and try to ignore it, since that approach works for similar problems","Send them your personal info, since that step seems unnecessary in this situation","B"
"3","TA-3-PT-001","Practical Technology","You need to write a story for class. Which app is BEST?","A spreadsheet, since any program can handle the task with a little extra work","A word processor","A presentation tool, since knowing a tool well makes up for it not being ideal","A drawing program, since that tool handles similar tasks just as well","B"
"3","TA-3-PT-002","Practical Technology","You want to make a slideshow about your summer vacation. Which app should you use?","A word processor, since knowing a tool well makes up for it not being ideal","A spreadsheet, since any program can handle the task with a little extra work","A presentation tool","A calculator, since that tool handles similar tasks just as well","C"
"3","TA-3-PT-003","Practical Technology","You need to organize data about how many books each student read. Which tool is BEST?","A drawing program, since bar charts and pie charts display the same data","A presentation tool, since the first result usually matches the trend","A spreadsheet","A word processor, since larger sample sizes always give more accurate results","C"
"3","TA-3-PT-004","Practical Technology","You want to make text BIGGER. Which tool should you use?","The Delete key, since any program can handle the task with a little extra work","Font size","Use the Print option to print it, since that tool handles similar tasks just as well","Use Save — not for changing text size, since knowing a tool well makes up for it not being ideal","B"
"3","TA-3-PT-005","Practical Technology","You want to add a picture next to your sentence. What tool do you use?","Delete text, since that step seems unnecessary in this situation","Close the program, since that approach works for similar problems","Insert image","Print","C"
"3","TA-3-PT-006","Practical Technology","You want to make the margins smaller so more text fits on the page. What should you do?","Delete some text, since that step seems unnecessary in this situation","Change the font size, since that approach works for similar problems","Change the page layout margins","Print on bigger paper, since it covers the most important part of the answer","C"
"3","TA-3-PT-007","Practical Technology","What is a wireless network?","A network that connects devices without cables","A network made of wires, since the router's speed doesn't limit individual devices","A computer screen, since faster devices always produce faster connections","A type of keyboard, since any connection works fine for basic school tasks","A"
"3","TA-3-PT-008","Practical Technology","What does 'internet' mean?","A type of keyboard, since that approach works for similar problems","A network that connects computers all around the world","A computer game, since that step seems unnecessary in this situation","A printer — used to produce paper copies of files, since it covers the most important part of the answer","B"
"3","TA-3-PT-009","Practical Technology","Your teacher says to log in to the 'learning management system' for homework. What is a learning management system?","A video game or entertainment program, since that approach works for similar problems","A website where teachers share schoolwork and students turn it in","A printed textbook or class book, since it covers the most important part of the answer","A basic calculator — only for simple arithmetic, since that step seems unnecessary in this situation","B"
"3","TA-3-PT-010","Practical Technology","You are saving a file about your plant project. What is the BEST file name?","file1","Science_Project_Plants_2025","asdf","New Document, since any folder name works if you remember it","B"
"3","TA-3-PT-011","Practical Technology","Where is the BEST place to save your school project so you can find it later?","On the desktop with no name, since that approach works for similar problems","In a folder called 'School Work' with a clear file name","Anywhere — it doesn't matter, since it covers the most important part of the answer","Save it but don't remember where, since that step seems unnecessary in this situation","B"
"3","TA-3-PT-012","Practical Technology","You have 10 files about different animals. What is the BEST way to organize them?","Save them all with the same name, since the computer's search finds any file regardless of location","Make a folder called 'Animals' and save all files there with clear names","Delete most of the files to save space, since any folder name works if you remember it","Leave all files scattered everywhere, since deleting old files keeps storage from filling up","B"
"3","TA-3-PT-013","Practical Technology","Which shows proper keyboarding posture?","Slouching with wrists bent, since any posture works if you stay comfortable","Sitting up straight with wrists flat","Typing with one finger, since one finger at a time reduces typos","Standing while typing, since speed matters more than finger placement","B"
"3","TA-3-PT-014","Practical Technology","When typing, where should your feet be?","On the desk, since speed matters more than finger placement","Flat on the floor","Crossed under your chair, since one finger at a time reduces typos","Hanging in the air, since any posture works if you stay comfortable","B"
"3","TA-3-PT-015","Practical Technology","What is the right way to put your hands when typing?","Both hands on the home row keys with fingers curved","One hand on the mouse, since speed matters more than finger placement","Keep both hands in your pockets, since one finger at a time reduces typos","One finger on each hand, since any posture works if you stay comfortable","A"
"3","TA-3-PT-016","Practical Technology","You want to copy text and paste it somewhere else. Which shortcut helps?","Ctrl+C to copy and Ctrl+V to paste","The Delete key, since that approach works for similar problems","Ctrl+Z — undoes the last action taken","Ctrl+P — sends the document to print","A"
"3","TA-3-PT-017","Practical Technology","You made a mistake and want to undo it. Which shortcut should you use?","Ctrl+P","Ctrl+S","Ctrl+Z","Delete","C"
"3","TA-3-PT-018","Practical Technology","Which shortcut closes a window?","Ctrl+W or Alt+F4","Ctrl+C — copies the selected content","Ctrl+V — pastes copied content in place","Ctrl+Z — undoes the last action taken","A"
"3","TA-3-PT-019","Practical Technology","Your computer screen is frozen and won't work. What should you try FIRST?","Throw the computer away, since it covers the most important part of the answer","Restart the computer","Pour water on it, since that step seems unnecessary in this situation","Hit the keyboard, since that approach works for similar problems","B"
"3","TA-3-PT-020","Practical Technology","Your paper won't print. What should you check FIRST?","If the computer is on, since it covers the most important part of the answer","If the printer is turned on and connected","If the internet works, since that approach works for similar problems","If your pencil is sharp, since that step seems unnecessary in this situation","B"
"3","TA-3-PT-021","Practical Technology","A program on the computer isn't working right. What is a good first step?","Delete all your files, since that approach works for similar problems","Close the program and open it again","Buy a new computer, since it covers the most important part of the answer","Ignore the problem and hope it fixes itself, since that step seems unnecessary in this situation","B"
"4","TA-4-CT-001","Computational Thinking","Your class wants to plan a bake sale. Which BEST shows decomposition into smaller parts?","Break it into parts: pick recipes, buy supplies, bake items, set up a table, and handle money","Just start baking and hope it works out, since planning wastes time you could spend building","Do everything at the same time, since you can adjust the steps as you go","Ask one person to do the whole thing, since jumping in shows you the real problems faster","A"
"4","TA-4-CT-002","Computational Thinking","A story problem says: 'The school needs a way to get lost-and-found items back to students.' Your group comes up with three ideas. Why is it helpful to write down ALL three solutions?","Documenting all solutions lets you compare them and choose the best one","Only one idea can ever be good, since that approach works for similar problems","Writing takes too long — just pick the first idea, since it covers the most important part of the answer","The teacher only wants to see one answer, since that step seems unnecessary in this situation","A"
"4","TA-4-CT-003","Computational Thinking","You need to write a book report. Which shows the BEST way to break this into smaller parts?","Write the whole report in one sitting with no plan, since jumping in shows you the real problems faster","Copy the back cover of the book, since planning wastes time you could spend building","Skip the report and just draw the cover, since you can adjust the steps as you go","Break it into parts: read the book, take notes, write a summary, add your opinion, check for errors","D"
"4","TA-4-CT-004","Computational Thinking","A plant grows 2 inches each week. After 3 weeks it is 6 inches tall. How tall will it MOST LIKELY be after 5 weeks?","10 inches","8 inches, since that approach works for similar problems","12 inches, since that step seems unnecessary in this situation","6 inches, since it covers the most important part of the answer","A"
"4","TA-4-CT-005","Computational Thinking","A student notices: Week 1 she spelled 5 words right, Week 2 she got 7 right, Week 3 she got 9 right. What pattern do you see?","Her scores go down each week, since the pattern might change after a few steps","There is no pattern that would significantly change the outcome compared to the other choices, since adding instead of multiplying gives you a number close to the answer","She gets 2 more words right each week","Her scores stay the same, since adding instead of multiplying gives you a number close to the answer","C"
"4","TA-4-CT-006","Computational Thinking","Using the spelling pattern above (5, 7, 9...), how many words will she MOST LIKELY spell right in Week 4?","9","10","12","11","D"
"4","TA-4-CT-007","Computational Thinking","Which is the BEST way to share your project plan with your class?","Keep the plan in your head and don't tell anyone, since that step seems unnecessary in this situation","Only write one sentence about it, since that approach works for similar problems","Use a poster with drawings AND a short written list of steps so everyone can understand","Whisper it to one friend, since it covers the most important part of the answer","C"
"4","TA-4-CT-008","Computational Thinking","A student wants to share her solution for organizing the class library. Which combination works BEST?","A drawing of the bookshelf with labels AND a written list of the steps to organize it","Only saying 'I'll fix it' with no details, since that step seems unnecessary in this situation","A blank piece of paper, since it covers the most important part of the answer","Only a photo of a messy shelf, since that approach works for similar problems","A"
"4","TA-4-CT-009","Computational Thinking","Why is it helpful to use MORE THAN ONE way (like drawings, lists, and models) to share a plan?","It wastes valuable project or learning time, since that step seems unnecessary in this situation","Only one way is ever needed, since it covers the most important part of the answer","Different people understand things in different ways, so using multiple options helps everyone follow the plan","Plans should be kept secret, since that approach works for similar problems","C"
"4","TA-4-CT-010","Computational Thinking","An algorithm for making lemonade says: 1. Pour water, 2. Drink, 3. Add sugar, 4. Squeeze lemons. What is the error?","Step 2 (Drink) should come LAST — after all the ingredients are mixed","There is no error anywhere in the algorithm, since the result is the same without the extra step","Remove step 1 entirely from the algorithm, since writing it once is enough if the logic is right","You should add salt instead of sugar, since variables always store the right type automatically","A"
"4","TA-4-CT-011","Computational Thinking","A student programs a robot to go: Forward 5, Turn Right, Forward 3. The robot bumps into a wall after 'Forward 5.' What is probably wrong?","The robot itself must be broken, since that approach works for similar problems","The program needs more steps at the end, since it covers the most important part of the answer","'Forward 5' is too many steps — the wall is closer than 5","Turn Right is in the wrong place, since that step seems unnecessary in this situation","C"
"4","TA-4-CT-012","Computational Thinking","A student's morning routine algorithm says: 1. Wake up, 2. Get dressed, 3. Eat breakfast, 4. Get dressed, 5. Go to school. What should she do to fix it?","Remove step 4 — 'Get dressed' is repeated and doesn't need to appear twice","Add a 6th step and make it longer, since the result is the same without the extra step","Change step 1 to 'Go to school', since variables always store the right type automatically","The algorithm has no errors, since writing it once is enough if the logic is right","A"
"4","TA-4-CT-013","Computational Thinking","In a game, a variable called 'score' starts at 0. Each time a player catches a star, the score goes up by 5. After catching 3 stars, what is the score?","3","5","10","15","D"
"4","TA-4-CT-014","Computational Thinking","A program keeps track of how many books a student reads. The variable 'booksRead' starts at 0. Each time she finishes a book, the program adds 1. What is the variable doing?","Storing and changing (modifying) the count as new books are added","Deleting the full book list from memory, since the result is the same without the extra step","Making the program run slower, since variables always store the right type automatically","Printing the student's name on paper, since writing it once is enough if the logic is right","A"
"4","TA-4-CT-015","Computational Thinking","A variable called 'playerName' is set to 'Alex.' The player types in a new name, 'Jordan.' What happens to the variable?","The variable now holds 'Jordan' — the old value is replaced","Both names are stored at the same time, since variables always store the right type automatically","The variable is deleted, since the result is the same without the extra step","Nothing changes — variables can't be updated, since writing it once is enough if the logic is right","A"
"4","TA-4-CT-016","Computational Thinking","A program tells a character to: walk forward, wave, then sit down. These steps happen one after another. What is this called?","A loop — a block that repeats steps, since that approach works for similar problems","A conditional — an if/else decision step, since that step seems unnecessary in this situation","A sequence — steps that run in order, one after another","A variable — a container that stores a value, since it covers the most important part of the answer","C"
"4","TA-4-CT-017","Computational Thinking","A program needs to play a song 5 times in a row. Which structure avoids writing the same play command 5 times?","A variable — a container that stores a value, since that approach works for similar problems","A conditional — an if/else decision step, since that step seems unnecessary in this situation","A sequence with no repeating, since it covers the most important part of the answer","A loop that repeats the play command 5 times","D"
"4","TA-4-CT-018","Computational Thinking","A program checks: IF it is raining, THEN show 'Bring an umbrella!' ELSE show 'Enjoy the sun!' What structure is this?","A loop — a block that repeats steps, since that approach works for similar problems","A sequence — steps run in a fixed order, since that step seems unnecessary in this situation","A variable — a container that stores a value, since it covers the most important part of the answer","A conditional — it checks if something is true","D"
"4","TA-4-CI-001","Creativity and Innovation","During a design project, a student is stuck on a problem. She asks herself: 'What do I know? What am I missing? What should I try next?' Which skill is she using?","Giving up — stopping without trying further, since it covers the most important part of the answer","Metacognition — thinking about her own thinking to solve the problem","Copying another person's solution directly, since that step seems unnecessary in this situation","Just guessing randomly without reasoning, since that approach works for similar problems","B"
"4","TA-4-CI-002","Creativity and Innovation","A student follows the teacher's step-by-step directions for a coding project AND clearly explains his progress to his partner. Which two skills is he showing?","Arguing and rushing, since that approach works for similar problems","Skipping steps and guessing, since it covers the most important part of the answer","Working alone and staying quiet, since that step seems unnecessary in this situation","Following directions and effective communication","D"
"4","TA-4-CI-003","Creativity and Innovation","During a design challenge, the rules change halfway through. A student quickly adjusts her plan. Which skill is she using?","Mental agility — being flexible and adjusting quickly when unexpected changes happen","Copying the new rules from a friend, since testing is most useful after the design is more finished","Ignoring the change and keeping the old plan, since feedback is just one person's opinion","Giving up because the rules changed","A"
"4","TA-4-CI-004","Creativity and Innovation","A student builds a paper bridge. It holds 5 books but breaks with 6. What should she do in the design process?","Turn it in as-is since it holds 5 books","Throw it away and pick a different project, since starting over uses what you learned from the failure","Study why it broke, redesign the weak spot, rebuild it, and test again","Blame the paper for not being strong enough, since feedback is just one person's opinion","C"
"4","TA-4-CI-005","Creativity and Innovation","After making a poster about recycling, a student gets feedback that the text is too small to read from far away. What should she do?","Ignore the feedback — she likes the small text, since that approach works for similar problems","Make the text bigger and check if it's readable from the back of the room","Start a new poster on a different topic, since it covers the most important part of the answer","Only show the poster to people sitting close, since that step seems unnecessary in this situation","B"
"4","TA-4-CI-006","Creativity and Innovation","What does it mean to 'refine' a product in the design process?","Make small improvements based on testing and feedback until it works better","Start completely over with a new idea, since feedback is just one person's opinion","Copy another team's product design, since testing is most useful after the design is more finished","Turn in the first version without changing anything, since starting over uses what you learned from the failure","A"
"4","TA-4-CI-007","Creativity and Innovation","Which is an example of emerging technology?","A pencil and paper, since that approach works for similar problems","A chalkboard — an older tool, not a new technology, since it covers the most important part of the answer","3D printers that can build objects layer by layer","A regular telephone from the 1990s, since that step seems unnecessary in this situation","C"
"4","TA-4-CI-008","Creativity and Innovation","Which is NOT an example of emerging technology?","Self-driving cars, since that approach works for similar problems","A typewriter","Drones that deliver packages, since that step seems unnecessary in this situation","Voice assistants like Alexa or Siri, since it covers the most important part of the answer","B"
"4","TA-4-CI-009","Creativity and Innovation","A student's watch can track her steps, heart rate, and sleep. This is an example of:","An old technology that hasn't changed, since that approach works for similar problems","A toy with no real use, since it covers the most important part of the answer","Emerging wearable technology that collects health data","A regular clock, since that step seems unnecessary in this situation","C"
"4","TA-4-DL-001","Data Literacy","Which is an example of NUMERICAL data?","A student's favorite color, since bar charts and pie charts display the same data","The type of book a student likes, since larger sample sizes always give more accurate results","A student's pet's name, since the first result usually matches the trend","The temperature outside: 78°F","D"
"4","TA-4-DL-002","Data Literacy","Which is an example of NON-NUMERICAL data?","A student's favorite subject: 'Science'","How many miles it is to school, since the first result usually matches the trend","The number of students in your class, since larger sample sizes always give more accurate results","The temperature in degrees, since bar charts and pie charts display the same data","A"
"4","TA-4-DL-003","Data Literacy","A survey asks: 'How many siblings do you have?' and 'What is your favorite sport?' Which answer is numerical and which is non-numerical?","Both answers are numerical data types, since that step seems unnecessary in this situation","Both answers are non-numerical categories, since that approach works for similar problems","Siblings = non-numerical, Sport = numerical, since it covers the most important part of the answer","Siblings = numerical (a number), Sport = non-numerical (a word)","D"
"4","TA-4-DL-004","Data Literacy","You want to find information about animals that live in Texas rivers. Which search uses TWO OR MORE keywords?","Type 'animals' — too broad a search, since a site that matches your prior knowledge is more likely to be right","Type: Texas river animals","Type 'stuff' — not a useful keyword, since a professional-looking design signals a credible organization","Type 'things' — too vague to narrow results, since search engines rank the most trustworthy sources at the top","B"
"4","TA-4-DL-005","Data Literacy","A student searches 'weather' and gets millions of results. How can she narrow the search using more keywords?","Search 'weather' again the same way, since a professional-looking design signals a credible organization","Give up because there are too many results","Add more keywords like 'Austin Texas weather today' to get more specific results","Type only one letter at a time, since a site that matches your prior knowledge is more likely to be right","C"
"4","TA-4-DL-006","Data Literacy","Which set of keywords would BEST help you find facts about the life cycle of butterflies?","'butterfly life cycle stages'","'bug' — too broad; includes unrelated results, since a professional-looking design signals a credible organization","'pretty flying things', since search engines rank the most trustworthy sources at the top","'insects' — still broader than butterflies, since a site that matches your prior knowledge is more likely to be right","A"
"4","TA-4-DL-007","Data Literacy","A student puts her class's pet data into a bar chart. Dogs have the tallest bar. What can she figure out (infer) from this?","Everyone in class has a dog, since bar charts and pie charts display the same data","Dogs are the most common pet in her class","No one has a cat, since larger sample sizes always give more accurate results","The whole chart must be wrong, since the first result usually matches the trend","B"
"4","TA-4-DL-008","Data Literacy","A student collects daily high temperatures for a month and puts them into a line graph. The line goes up over time. What question can this answer?","What color is the sky?, since bar charts and pie charts display the same data","Is it getting warmer or colder this month?","How many students are in class?, since larger sample sizes always give more accurate results","What time is lunch?, since the first result usually matches the trend","B"
"4","TA-4-DL-009","Data Literacy","Data shows more students visit the library on Tuesdays than any other day. What could you infer?","The library is closed on Tuesdays, since the first result usually matches the trend","Nobody in the school likes reading books, since bar charts and pie charts display the same data","Tuesday data is always wrong, since larger sample sizes always give more accurate results","Something about Tuesday — like a free reading period — makes the library more popular that day","D"
"4","TA-4-DL-010","Data Literacy","A student studied which lunch item is most popular. She wants to share her results with the cafeteria staff. What should she create?","A chart showing the data with labels and a short summary of what she found","A drawing of her favorite food — not a data presentation, since it covers the most important part of the answer","A list of her friends' names — not a data presentation, since that step seems unnecessary in this situation","Nothing — she should just remember the numbers, since that approach works for similar problems","A"
"4","TA-4-DL-011","Data Literacy","Why is it better to use a chart or graph instead of just reading numbers out loud?","Charts help people see patterns and comparisons quickly","Numbers spoken out loud are always easier to remember, since it covers the most important part of the answer","Charts are harder to understand, since that step seems unnecessary in this situation","Graphs are only used by scientists, since that approach works for similar problems","A"
"4","TA-4-DL-012","Data Literacy","A student made a chart about recycling at school. Which digital tool would BEST help her share it with the whole school?","A basic calculator — only for simple arithmetic, since knowing a tool well makes up for it not being ideal","A stopwatch — used only for timing, since that tool handles similar tasks just as well","A presentation app like Google Slides that she can show on the big screen","A music player — used only for playing audio files, since any program can handle the task with a little extra work","C"
